Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Cerro Largo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,13289,0,0,0,0,0,0,13705,08/05/2024
Cerro Largo,Tempestade Local/Convectiva - Vendaval,Reconhecido,13289,0,0,0,0,0,0,300,03/01/2024
Chapada,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,9377,0,0,0,0,3,0,9475,05/05/2024
Charqueadas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,35363,0,0,0,615,6300,0,0,03/05/2024
Charrua,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3471,0,0,0,0,0,0,2768,20/01/2024
Charrua,Tempestade Local/Convectiva - Vendaval,Registro,3471,0,0,0,0,0,0,200,11/01/2024
Chiapetta,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4044,0,0,0,0,0,0,4044,04/05/2024
Chuí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5919,0,0,0,0,34,0,6228,27/05/2024
Chuvisca,Tempestade Local/Convectiva - Vendaval,Reconhecido,4944,0,3,0,0,60,0,437,09/12/2024
Chuvisca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4944,0,0,0,0,0,0,4944,15/05/2024
Cidreira,Alagamentos,Não reconhecido,12654,0,0,0,0,3200,0,0,07/05/2024
Ciríaco,Tempestade Local/Convectiva - Vendaval,Registro,4922,0,0,0,0,0,0,0,03/12/2024
Ciríaco,Tempestade Local/Convectiva - Vendaval,Registro,4922,0,0,0,0,0,0,100,25/10/2024
Ciríaco,13211 - Tempestade Local/Convectiva - Tornados,Registro,4922,0,0,0,0,1,0,100,14/05/2024
Ciríaco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4922,0,0,0,0,0,0,4149,03/05/2024
Colinas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2420,0,80,200,200,1150,0,1030,03/05/2024
Colinas,Tempestade Local/Convectiva - Vendaval,Reconhecido,2420,0,0,0,0,0,0,2420,18/01/2024
Colinas,Tempestade Local/Convectiva - Vendaval,Registro,2420,0,0,0,0,0,0,2420,18/01/2024
Colorado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3550,0,0,0,0,2,0,3548,06/05/2024
Colorado,Alagamentos,Registro,3550,0,0,0,0,2,0,0,06/05/2024
Condor,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6552,0,0,0,0,40,0,6460,07/05/2024
Constantina,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,9741,0,0,0,72,45,0,9624,04/05/2024
Coqueiro Baixo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1528,0,0,0,1,10,0,1279,07/05/2024
Coronel Barros,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2459,0,0,0,0,10,0,2812,29/05/2024
Coronel Bicaco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7748,0,0,0,0,8,0,7740,03/05/2024
Coronel Pilar,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1725,0,0,0,70,20,0,1300,04/05/2024
