state,municipality,register,COBRADE,population,deaths,injured,sick,displaced,homeless,disapeared,other affecteds,Year
RS,CanguÁu,01/03/2024,12200 - Enxurradas,53268,0,0,0,0,0,0,0,2024
RS,Canoas,01/11/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,324025,0,0,0,3341,0,0,8180,2024
RS,Canoas,08/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,324025,0,0,0,0,0,0,0,2024
RS,Canoas,08/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,324025,2,372,0,22000,157512,114,0,2024
RS,Canoas,19/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,324025,0,0,0,16,6036,0,6052,2024
RS,Canudos do Vale,05/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1807,0,0,0,0,34,0,1622,2024
RS,Cap„o Bonito do Sul,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1753,0,0,0,0,0,0,1753,2024
RS,Cap„o do CipÛ,17/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3107,0,0,0,0,0,0,3699,2024
RS,Cap„o do CipÛ,16/04/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3107,0,0,0,0,0,0,3699,2024
RS,Cap„o do Le„o,10/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,24294,0,0,0,0,0,0,7500,2024
RS,Cap„o do Le„o,28/03/2024,13215 - Tempestade Local/Convectiva - Vendaval,24294,0,0,0,0,0,0,24000,2024
RS,Capela de Santana,03/05/2024,12300 - Alagamentos,11613,0,0,0,50,100,0,0,2024
RS,Capit„o,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2636,2,15,0,32,106,0,2789,2024
RS,Capivari do Sul,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3890,0,0,0,0,7,0,0,2024
RS,Cara·,08/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7313,0,0,0,0,22,0,7291,2024
RS,Cara·,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7313,0,0,0,0,22,0,7291,2024
RS,Carazinho,08/10/2024,13213 - Tempestade Local/Convectiva - Granizo,59301,0,0,0,0,0,0,4200,2024
RS,Carlos Barbosa,29/04/2024,12200 - Enxurradas,25193,0,3,0,60,0,0,0,2024
RS,Carlos Barbosa,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,25193,0,0,0,73,0,0,0,2024
RS,Carlos Gomes,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1607,0,0,0,0,0,0,1355,2024
RS,Casca,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,8648,0,0,0,0,0,0,3500,2024
RS,CatuÌpe,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,9323,0,0,0,0,0,0,9323,2024
RS,Caxias do Sul,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,435482,5,0,0,44,760,6,434667,2024
RS,Centen·rio,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2967,0,0,0,0,0,0,2967,2024
RS,Centen·rio,22/01/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2967,0,0,0,0,0,0,2967,2024
RS,Cerrito,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6404,0,0,0,0,0,0,2000,2024
RS,Cerrito,21/03/2024,13215 - Tempestade Local/Convectiva - Vendaval,6404,0,1,0,0,600,0,0,2024
RS,Cerro Branco,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4454,0,0,0,100,200,0,3500,2024
RS,Cerro Branco,09/04/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4454,0,0,0,0,0,0,0,2024
RS,Cerro Branco,19/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,4454,0,0,0,0,0,0,3802,2024
RS,Cerro Grande,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2417,0,0,0,0,0,0,2417,2024
RS,Cerro Grande,21/03/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2417,0,0,0,0,0,0,150,2024
RS,Cerro Grande do Sul,09/05/2024,12200 - Enxurradas,10280,0,0,0,103,150,0,1000,2024
RS,Cerro Grande do Sul,03/05/2024,12300 - Alagamentos,10280,0,0,0,0,25,0,1000,2024
RS,Cerro Largo,08/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,13289,0,0,0,0,0,0,13705,2024
RS,Cerro Largo,03/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,13289,0,0,0,0,0,0,300,2024
RS,Chapada,05/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,9377,0,0,0,0,3,0,9475,2024
RS,Charqueadas,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,35363,0,0,0,615,6300,0,0,2024
RS,Charrua,20/01/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3471,0,0,0,0,0,0,2768,2024
RS,Charrua,11/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,3471,0,0,0,0,0,0,200,2024
RS,Chiapetta,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4044,0,0,0,0,0,0,4044,2024
RS,ChuÌ,27/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,5919,0,0,0,0,34,0,6228,2024
RS,Chuvisca,09/12/2024,13215 - Tempestade Local/Convectiva - Vendaval,4944,0,3,0,0,60,0,437,2024
RS,Chuvisca,15/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4944,0,0,0,0,0,0,4944,2024
RS,Cidreira,07/05/2024,12300 - Alagamentos,12654,0,0,0,0,3200,0,0,2024
RS,CirÌaco,03/12/2024,13215 - Tempestade Local/Convectiva - Vendaval,4922,0,0,0,0,0,0,0,2024
RS,CirÌaco,25/10/2024,13215 - Tempestade Local/Convectiva - Vendaval,4922,0,0,0,0,0,0,100,2024
RS,CirÌaco,14/05/2024,13211 - Tempestade Local/Convectiva - Tornados,4922,0,0,0,0,1,0,100,2024
RS,CirÌaco,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4922,0,0,0,0,0,0,4149,2024
RS,Colinas,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2420,0,80,200,200,1150,0,1030,2024
RS,Colinas,18/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,2420,0,0,0,0,0,0,2420,2024
RS,Colinas,18/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,2420,0,0,0,0,0,0,2420,2024
RS,Colorado,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3550,0,0,0,0,2,0,3548,2024
RS,Colorado,06/05/2024,12300 - Alagamentos,3550,0,0,0,0,2,0,0,2024
RS,Condor,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6552,0,0,0,0,40,0,6460,2024
RS,Constantina,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,9741,0,0,0,72,45,0,9624,2024
RS,Coqueiro Baixo,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1528,0,0,0,1,10,0,1279,2024
RS,Coronel Barros,29/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2459,0,0,0,0,10,0,2812,2024
RS,Coronel Bicaco,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7748,0,0,0,0,8,0,7740,2024
RS,Coronel Pilar,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,1725,0,0,0,70,20,0,1300,2024
RS,Coronel Pilar,30/04/2024,11321 - Deslizamentos,1725,0,0,0,0,10,0,0,2024
RS,Cotipor„,12/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3917,1,0,0,70,160,0,3686,2024
RS,Coxilha,06/11/2024,13213 - Tempestade Local/Convectiva - Granizo,2826,0,0,0,0,0,0,150,2024
RS,Coxilha,16/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2826,0,0,0,0,0,0,200,2024
RS,Crissiumal,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,14085,0,0,0,0,0,0,14085,2024
RS,Cristal,24/09/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7280,0,0,0,0,0,0,1200,2024
RS,Cristal,30/04/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,7280,0,0,0,0,144,0,0,2024
RS,Cristal do Sul,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2826,0,0,0,8,4,0,2814,2024
RS,Cruz Alta,21/06/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,62825,0,0,0,0,0,0,200,2024
RS,Cruz Alta,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,62825,0,0,0,0,0,0,58913,2024
RS,Cruz Alta,04/04/2024,13215 - Tempestade Local/Convectiva - Vendaval,62825,0,0,0,0,0,0,6,2024
RS,Cruz Alta,21/03/2024,13215 - Tempestade Local/Convectiva - Vendaval,62825,0,0,0,0,0,0,112,2024
RS,Cruzaltense,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2141,0,0,0,0,0,0,1635,2024
RS,Cruzeiro do Sul,01/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,12331,3,0,0,800,2987,0,12331,2024
RS,Cruzeiro do Sul,18/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,12331,0,0,0,0,12,0,12319,2024
RS,David Canabarro,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4683,0,0,0,0,0,0,4863,2024
RS,David Canabarro,20/04/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4683,0,0,0,0,0,0,1728,2024
RS,Derrubadas,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3190,0,0,0,0,12,0,2739,2024
RS,Dezesseis de Novembro,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2866,0,0,0,0,0,0,0,2024
RS,Dezesseis de Novembro,25/01/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2866,0,0,0,0,0,0,2507,2024
RS,Dezesseis de Novembro,05/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,2866,0,0,0,0,2,0,76,2024
RS,Dilermando de Aguiar,01/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3064,0,0,0,0,64,0,3000,2024
RS,Dilermando de Aguiar,25/03/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3064,0,0,0,0,0,0,0,2024
RS,Dilermando de Aguiar,26/01/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3064,0,0,0,0,0,0,2,2024
RS,Dois Irm„os,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,27572,0,0,0,0,60,0,0,2024
RS,Dois Irm„os das Missıes,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2157,0,0,0,0,12,0,2145,2024
RS,Dois Lajeados,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3280,0,0,0,39,0,0,0,2024
RS,Dom Feliciano,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,14380,0,0,0,0,120,0,0,2024
RS,Dom Pedrito,08/10/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,38916,0,0,0,49,520,0,2731,2024
RS,Dom Pedrito,13/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,38916,0,0,0,0,0,0,1930,2024
RS,Dom Pedro de Alc‚ntara,29/10/2024,13215 - Tempestade Local/Convectiva - Vendaval,2550,0,0,0,0,0,0,0,2024
