municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
Dois Lajeados,RS,1,39,3280,1.1890243902439024
Dois Vizinhos,PR,3,11875,36198,32.805679871816125
Dom Eliseu,PA,1,3972,51318,7.7399742780311005
Dom Feliciano,RS,1,120,14380,0.8344923504867872
Dom Pedrito,RS,2,5230,38916,13.439202384623291
Dom Pedro De Alcântara,RS,2,18,2550,0.7058823529411765
Dom Silvério,MG,2,500,5193,9.628345850182939
Dona Emma,SC,1,0,3723,0.0
Dona Eusébia,MG,1,200,6001,3.3327778703549407
Dona Francisca,RS,1,3401,3401,100.0
Dormentes,PE,1,3,16915,0.017735737511084836
Doutor Maurício Cardoso,RS,2,8940,5313,168.26651609260307
Doutor Pedrinho,SC,1,35,3604,0.9711431742508323
Doutor Ricardo,RS,3,5664,2030,279.01477832512313
Doutor Severiano,RN,1,706,6495,10.869899923017707
Duque De Caxias,RJ,3,156591,855046,18.313751540852774
Dário Meira,BA,2,4251,12841,33.1048983724009
Eldorado Do Sul,RS,3,42423,34335,123.5561380515509
Embu-Guaçu,SP,1,14148,62846,22.512172612417654
Encantado,RS,1,22962,20514,111.93331383445452
Encruzilhada Do Sul,RS,1,7015,24537,28.589477116191876
Engenheiro Paulo De Frontin,RJ,3,29481,13239,222.6829820983458
Engenho Velho,RS,3,2190,1530,143.13725490196077
Entre Rios Do Sul,RS,1,3080,3080,100.0
Entre-Ijuís,RS,1,9158,8938,102.4614007607966
Envira,AM,2,5416,16328,33.17001469867712
Enéas Marques,PR,1,900,6101,14.751680052450416
Epitaciolândia,AC,2,7650,15126,50.57516858389528
Erebango,RS,2,6108,2970,205.65656565656565
Erechim,RS,4,356,96105,0.3704281775141772
Ermo,SC,1,715,2050,34.8780487804878
Erval Grande,RS,1,5167,5167,100.0
Erval Seco,RS,1,7878,7878,100.0
Esmeralda,RS,1,40,3169,1.2622278321236984
Esperança Do Sul,RS,1,3272,3272,100.0
Espumoso,RS,3,30346,15240,199.12073490813648
Estação,RS,1,5517,6011,91.78173348860422
Esteio,RS,3,88556,80669,109.7769899217791
Estrela,RS,2,39999,30628,130.5961864960167
Estrela Velha,RS,1,3070,3628,84.61962513781698
Estância,SE,2,48,64464,0.07446016381236038
Estância Velha,RS,3,24,42589,0.056352579304515246
Eugenópolis,MG,1,1300,10541,12.332795749928849
Eugênio De Castro,RS,1,16,2797,0.572041473006793
Extremoz,RN,2,3400,24550,13.849287169042771
Fagundes Varela,RS,1,155,2579,6.010081426909655
Farroupilha,RS,1,111,63641,0.1744158639870524
Faxinal Do Soturno,RS,4,7187,6672,107.71882494004797
Faxinalzinho,RS,1,2567,2567,100.0
Fazenda Vilanova,RS,1,4291,3697,116.06708141736544
Feijó,AC,3,2000,32311,6.189842468509176
Feliz,RS,4,24894,12359,201.42406343555302
Fervedouro,MG,1,1500,10351,14.491353492416192
Flor Do Sertão,SC,3,1004,1588,63.22418136020151
Flores Da Cunha,RS,3,30892,27135,113.84558688041275
Flores De Goiás,GO,1,300,12058,2.4879747885221426
Floriano Peixoto,RS,1,1668,2018,82.65609514370664
Florianópolis,SC,3,0,421203,0.0
Fontoura Xavier,RS,1,7308,10712,68.22255414488424
Formiga,MG,1,13,65064,0.019980327062584534
Formigueiro,RS,1,6413,7014,91.43142286854862
Formosa Da Serra Negra,MA,1,98,17780,0.5511811023622047
Forquetinha,RS,1,1222,2473,49.41366761019005
Fortaleza Dos Valos,RS,2,4577,4577,100.0
Francisco Morato,SP,2,8,154538,0.005176720288860992
Franciscópolis,MG,1,5034,5803,86.7482336722385
Frederico Westphalen,RS,2,32797,28848,113.68899057127011
Frutal,MG,2,60908,53474,113.90208325541384
Fundão,ES,1,15,17028,0.08809020436927414
Galiléia,MG,2,2934,6966,42.11886304909561
Gandu,BA,1,421,30329,1.3881103893962874
Garibaldi,RS,1,31517,30692,102.68799687214909
Garopaba,SC,1,29020,18144,159.9426807760141
Garruchos,RS,2,2688,3233,83.14259201979586
Garuva,SC,1,0,14762,0.0
Gaurama,RS,1,5665,5862,96.63937222790857
General Carneiro,PR,1,4371,13667,31.982146776907882
General Câmara,RS,1,701,8452,8.293894936109798
Gentil,RS,2,2344,1677,139.77340488968395
Getúlio Vargas,RS,2,16165,16156,100.0557068581332
Giruá,RS,1,1890,17085,11.06233538191396
Glaucilândia,MG,2,3084,2964,104.0485829959514
Glorinha,RS,2,2000,6885,29.048656499636895
Goianinha,RN,1,0,22467,0.0
Goianésia Do Pará,PA,1,7112,30437,23.366297598317836
Goiânia,GO,1,15,1301892,0.001152169304366261
Gonçalves,MG,1,315,4220,7.464454976303317
Gouveia,MG,1,489,11687,4.184136219731325
Governador Nunes Freire,MA,1,600,25402,2.3620187386819933
Governador Valadares,MG,1,241430,263594,91.591614376655
Grajaú,MA,1,1578,61903,2.549149475792772
Gramado,RS,2,1284,32300,3.975232198142415
Gramado Dos Loureiros,RS,1,2269,2269,100.0
Gramado Xavier,RS,3,3304,3970,83.22418136020151
Gravataí,RS,4,284103,255762,111.081004996833
Grupo De Municípios,AC,3,208855,0,inf
Grupo De Municípios,AP,1,2101,0,inf
Grupo De Municípios,BA,1,103042,0,inf
Grupo De Municípios,ES,1,19610,0,inf
Grupo De Municípios,RS,1,46081,0,inf
Grão Mogol,MG,2,1430,15026,9.51683748169839
Guabiju,RS,1,1598,1598,100.0
Guajará,AM,1,5775,14074,41.03311070058264
Guanhães,MG,1,0,31266,0.0
Guapimirim,RJ,1,3598,51487,6.988171771515139
Guaporé,RS,3,71588,22810,313.84480491012715
Guaraciaba,SC,1,0,10498,0.0
Guarani Das Missões,RS,2,14830,8115,182.74799753542823
Guaranésia,MG,2,4339,18714,23.185850165651384
Guaratinguetá,SP,2,7055,112091,6.293993273322568
Guaratuba,PR,1,3744,32088,11.667913238593867
Guariba,SP,1,10077,35491,28.393113747147165
Guarinos,GO,2,522,2306,22.63660017346054
Guatambú,SC,1,4,4675,0.0855614973262032
Guaçuí,ES,2,1009,27853,3.622590026209026
Guaíba,RS,1,59870,95230,62.8688438517274
Harmonia,RS,2,223,4254,5.242125058768218
Herval,RS,2,6210,6757,91.90469143110847
Herveiras,RS,1,2526,2954,85.51117129316181
Horizontina,RS,2,37739,18350,205.66212534059946
Hulha Negra,RS,5,12284,6048,203.10846560846562
Humaitá,RS,2,4933,4919,100.28461069323033
Iaciara,GO,1,605,12438,4.864126065283807
Ibarama,RS,1,3736,4371,85.47243193777167
Ibatiba,ES,1,900,22346,4.027566454846505
Ibiara,PB,1,2345,6031,38.88244072293152
Ibiaçá,RS,2,2500,4710,53.07855626326964
Ibiaí,MG,1,110,7839,1.4032402092103584
Ibicuí,BA,1,350,15786,2.2171544406436086
Ibiraiaras,RS,1,7175,7175,100.0
Ibirama,SC,3,14857,17342,85.67062622534887
Ibirapuitã,RS,1,1670,4061,41.12287613888205
Ibirubá,RS,2,200,19312,1.035625517812759
Iconha,ES,2,0,12514,0.0
Ielmo Marinho,RN,1,0,12188,0.0
Igrejinha,RS,3,31663,31663,100.0
Iguatemi,MS,3,0,14887,0.0
Iguaí,BA,1,851,25724,3.3081946820090193
Ijuí,RS,1,84041,78920,106.48884946781551
Ilhéus,BA,2,18841,184231,10.22683478893346
Ilópolis,RS,1,32,4098,0.7808687164470474
Imbituba,SC,2,690,40200,1.7164179104477613
Imigrante,RS,1,3025,3025,100.0
Indaial,SC,3,0,54794,0.0
Independência,RS,1,1800,6618,27.198549410698096
Inhacorá,RS,2,4534,2267,200.0
Inhapim,MG,1,14212,24269,58.560303267542956
Inocência,MS,1,0,7686,0.0
Ipanguaçu,RN,4,5940,13855,42.87260916636593
Ipatinga,MG,3,0,239177,0.0
Ipira,SC,1,884,4752,18.602693602693606
Ipiranga,PR,1,7033,14153,49.69264466897478
Ipiranga Do Sul,RS,1,1720,1944,88.47736625514403
Ipixuna Do Pará,PA,1,12774,51383,24.86036237666154
Ipojuca,PE,22,96,80542,0.11919247100891461
Ipuaçu,SC,3,50,6802,0.7350779182593354
Ipê,RS,1,6017,6017,100.0
Irauçuba,CE,1,3,22347,0.013424620754463686
Iraí,RS,1,8078,8078,100.0
Irineópolis,SC,1,4,10450,0.03827751196172249
Irituia,PA,2,4474,31382,14.25658020521318
Irupi,ES,3,31,11729,0.2643021570466365
Itaara,RS,2,562,5011,11.215326282179205
Itaberaí,GO,1,28,35412,0.07906924206483677
Itabirinha,MG,5,1463,10692,13.68312757201646
Itacarambi,MG,1,65,17739,0.3664242629235019
Itacoatiara,AM,1,3738,86840,4.304467987102718
Itacurubi,RS,2,3007,3441,87.38738738738738
Itaguaçu,ES,1,0,14134,0.0
Itainópolis,PI,1,2617,11099,23.5787007838544
Itaipulândia,PR,1,400,9027,4.431150991470034
Itaiópolis,SC,1,1,20315,0.0049224710804824014
