Estacao,AnoMes,Precipitacao
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-01,182.6
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-02,32.4
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-03,39.800000000000004
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-04,112.0
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-05,2.4
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-06,38.4
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-07,41.8
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-08,5.2
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-09,33.6
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-10,28.8
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-11,46.8
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024,2024-12,37.199999999999996
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-01,147.2
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-02,184.8
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-03,18.400000000000002
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-04,141.0
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-05,20.4
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-06,23.6
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-07,80.6
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024,2024-08,131.4
