"state","municipality","register","COBRADE","population","deaths","injured","sick","displaced","homeless","disapeared","other affecteds","Year"
"ES","Aracruz","2024-12-16","11321 - Deslizamentos",81746,0,0,0,0,4,0,0,2024
"MG","Ouro Verde de Minas","2024-12-02","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6021,0,0,0,4,0,0,406,2024
"MG","Glaucilândia","2024-11-28","13214 - Tempestade Local/Convectiva - Chuvas Intensas",2964,0,0,0,0,0,0,2964,2024
"MG","São Gonçalo do Abaeté","2024-11-26","12300 - Alagamentos",6252,0,0,0,0,0,0,0,2024
"MG","Virgolândia","2024-11-25","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5659,0,0,0,0,15,0,1585,2024
"SC","Flor do Sertão","2024-11-22","13215 - Tempestade Local/Convectiva - Vendaval",1588,0,0,0,0,4,0,0,2024
"SC","Maravilha","2024-11-22","13213 - Tempestade Local/Convectiva - Granizo",22104,0,0,0,0,0,0,0,2024
"ES","Venda Nova do Imigrante","2024-11-22","13214 - Tempestade Local/Convectiva - Chuvas Intensas",20468,0,0,0,7,1,0,0,2024
"SC","São Francisco do Sul","2024-11-21","13215 - Tempestade Local/Convectiva - Vendaval",42569,0,0,0,0,0,0,16,2024
"SC","Biguaçu","2024-11-21","13214 - Tempestade Local/Convectiva - Chuvas Intensas",58238,0,0,0,0,0,0,0,2024
"GO","Itaberaí","2024-11-21","12300 - Alagamentos",35412,0,2,0,0,5,0,21,2024
"RS","Itaara","2024-11-20","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5011,0,0,0,0,2,0,0,2024
"MG","Caxambu","2024-11-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",21719,0,0,0,0,3,0,0,2024
"RJ","Barra do Piraí","2024-11-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",94855,0,0,0,0,0,0,0,2024
"RJ","Italva","2024-12-19","13214 - Tempestade Local/Convectiva - Chuvas Intensas",14027,0,0,0,11,44,0,180,2024
"MG","São Geraldo do Baixio","2024-11-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",3487,0,0,0,4,10,0,2800,2024
"MG","Ouro Verde de Minas","2024-11-23","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6021,0,0,0,0,0,0,2128,2024
"MG","Novo Oriente de Minas","2024-11-18","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10342,0,0,0,0,0,0,1836,2024
"MG","Franciscópolis","2024-11-18","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5803,0,0,0,0,0,0,5034,2024
"MG","Conselheiro Pena","2024-11-14","13214 - Tempestade Local/Convectiva - Chuvas Intensas",22232,0,0,0,0,0,0,1980,2024
"MG","Mendes Pimentel","2024-11-19","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6329,0,0,0,12,0,0,1500,2024
"MG","São José da Safira","2024-11-18","13214 - Tempestade Local/Convectiva - Chuvas Intensas",4075,0,0,0,0,0,0,3300,2024
"MG","Carlos Chagas","2024-11-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",20087,0,0,0,12,60,0,128,2024
"MG","Belo Horizonte","2024-11-22","24200 - Rompimento/colapso de barragens",2375444,0,0,0,0,0,0,2375444,2024
"PA","Oriximiná","2024-11-14","13215 - Tempestade Local/Convectiva - Vendaval",62963,0,0,0,0,65,0,2165,2024
"MG","Alfenas","2024-11-13","13214 - Tempestade Local/Convectiva - Chuvas Intensas",73722,0,0,0,144,0,0,0,2024
"SC","Palma Sola","2024-11-13","13215 - Tempestade Local/Convectiva - Vendaval",7765,0,0,0,0,0,0,0,2024
"GO","Santo Antônio do Descoberto","2024-11-19","13214 - Tempestade Local/Convectiva - Chuvas Intensas",63166,0,0,0,4,6,0,1500,2024
"GO","Santo Antônio do Descoberto","2024-11-13","12300 - Alagamentos",63166,0,0,0,10,0,0,0,2024
"GO","Guarinos","2024-11-21","13214 - Tempestade Local/Convectiva - Chuvas Intensas",2306,0,0,0,0,0,0,0,2024
"SC","São José do Cedro","2024-11-18","11420 - Erosão de Margem Fluvial",13672,0,0,0,0,0,0,0,2024
"GO","Anicuns","2024-11-18","13214 - Tempestade Local/Convectiva - Chuvas Intensas",20272,0,0,0,10,10,0,10,2024
"GO","Cavalcante","2024-11-08","12100 - Inundações",9394,0,0,0,0,0,0,0,2024
"SC","Pedras Grandes","2024-11-08","13214 - Tempestade Local/Convectiva - Chuvas Intensas",4107,0,0,0,0,0,0,136,2024
"MS","Ivinhema","2024-11-12","13215 - Tempestade Local/Convectiva - Vendaval",22355,0,0,0,0,0,0,0,2024
"SC","Chapecó","2024-11-08","12300 - Alagamentos",183561,0,0,0,0,0,0,0,2024
"RS","São Sepé","2024-11-08","12300 - Alagamentos",23798,0,0,0,0,0,0,0,2024
"PR","Rebouças","2024-11-13","12200 - Enxurradas",14176,0,0,0,0,0,0,292,2024
"SC","Corupá","2024-11-08","13214 - Tempestade Local/Convectiva - Chuvas Intensas",13852,0,0,0,0,0,0,0,2024
"SC","Matos Costa","2024-11-29","12200 - Enxurradas",2838,0,0,0,0,0,0,0,2024
"PR","General Carneiro","2024-11-13","12100 - Inundações",13667,1,0,0,0,270,0,4100,2024
"SC","Mafra","2024-11-07","13214 - Tempestade Local/Convectiva - Chuvas Intensas",52920,0,0,0,0,0,0,0,2024
"SC","Ipuaçu","2024-11-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6802,0,0,0,0,0,0,0,2024
"SC","São Domingos","2024-11-07","12300 - Alagamentos",9496,0,0,0,0,0,0,0,2024
"SC","São Domingos","2024-11-07","13214 - Tempestade Local/Convectiva - Chuvas Intensas",9496,0,0,0,0,10,0,335,2024
"SC","São José do Cedro","2024-11-07","13214 - Tempestade Local/Convectiva - Chuvas Intensas",13672,0,0,0,0,0,0,0,2024
"SC","Timbé do Sul","2024-11-08","12100 - Inundações",5308,0,0,0,0,0,0,0,2024
"SP","Francisco Morato","2024-11-06","12300 - Alagamentos",154538,0,0,0,0,8,0,0,2024
"SC","Jacinto Machado","2024-11-07","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10608,0,0,0,0,30,0,3800,2024
